Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
13,4,2,8,0.1,0.01,2.6666666666666665,13,,5,13.0,4.716884677402866e-06,4.195611468584999e-07,4.195611468584999e-07
14,4,2,8,0.1,0.001,2.6666666666666665,14,,6,14.0,2.4241468868701335e-06,1.8777588002483113e-07,1.8777588002483113e-07
15,4,2,8,0.1,0.0001,2.6666666666666665,15,,7,15.0,1.1251706221426232e-06,1.0009485665622472e-07,1.0009485665622472e-07
16,4,2,8,0.1,1e-05,2.6666666666666665,16,,0,16.0,1.4087841157728323e-06,1.0984438184205335e-07,1.0984438184205335e-07
17,4,2,8,0.1,1e-06,2.6666666666666665,17,,1,17.0,1.8520329141509768e-06,1.2451768805912958e-07,1.2451768805912958e-07
18,4,2,8,0.2,0.1,2.6666666666666665,18,,2,18.0,4.205372383685659e-05,2.0170088689114188e-06,2.0170088689114188e-06
19,4,2,8,0.2,0.01,2.6666666666666665,19,,3,19.0,9.049242696821506e-06,7.33870117888082e-07,7.33870117888082e-07
20,4,2,8,0.2,0.001,2.6666666666666665,20,,4,20.0,4.465961274351207e-06,3.800865183037218e-07,3.800865183037218e-07
21,4,2,8,0.2,0.0001,2.6666666666666665,21,,5,21.0,1.4100775470505298e-06,1.2346100406995736e-07,1.2346100406995736e-07
22,4,2,8,0.2,1e-05,2.6666666666666665,22,,6,22.0,1.0462586281512605e-06,1.044423824373767e-07,1.044423824373767e-07
23,4,2,8,0.2,1e-06,2.6666666666666665,23,,7,23.0,9.443236227348012e-07,1.013469535852955e-07,1.013469535852955e-07
24,4,2,8,0.5,0.1,2.6666666666666665,24,,0,24.0,3.84176227862318e-05,2.1598654455245952e-06,2.1598654455245952e-06
25,4,2,8,0.5,0.01,2.6666666666666665,25,,1,25.0,3.715770785937357e-05,1.7769159508268743e-06,1.7769159508268743e-06
26,4,2,8,0.5,0.001,2.6666666666666665,26,,2,26.0,7.78666011981679e-06,6.93075783148513e-07,6.93075783148513e-07
27,4,2,8,0.5,0.0001,2.6666666666666665,27,,3,27.0,1.9898567494054932e-06,2.0064434898196495e-07,2.0064434898196495e-07
28,4,2,8,0.5,1e-05,2.6666666666666665,28,,4,28.0,1.4361633555652122e-06,1.3114629031764304e-07,1.3114629031764304e-07
29,4,2,8,0.5,1e-06,2.6666666666666665,29,,5,29.0,1.327526109198281e-06,1.1954252422336187e-07,1.1954252422336187e-07
30,4,2,8,0.8,0.1,2.6666666666666665,30,,6,30.0,3.680233117850462e-05,2.0813574175975035e-06,2.0813574175975035e-06
31,4,2,8,0.8,0.01,2.6666666666666665,31,,7,31.0,3.9141821157833805e-05,2.1811521581847737e-06,2.1811521581847737e-06
32,4,2,8,0.8,0.001,2.6666666666666665,32,,0,32.0,1.6682465214523633e-05,1.2770905931384985e-06,1.2770905931384985e-06
33,4,2,8,0.8,0.0001,2.6666666666666665,33,,1,33.0,2.8121149086682938e-06,2.775535011844581e-07,2.775535011844581e-07
34,4,2,8,0.8,1e-05,2.6666666666666665,34,,2,34.0,1.7097091673579136e-06,1.4196082003974524e-07,1.4196082003974524e-07
35,4,2,8,0.8,1e-06,2.6666666666666665,35,,3,35.0,1.4785030785439892e-06,1.2760173066191168e-07,1.2760173066191168e-07
36,4,2,8,0.9,0.1,2.6666666666666665,36,,4,36.0,3.658866545899312e-05,2.0687267571898092e-06,2.0687267571898092e-06
37,4,2,8,0.9,0.01,2.6666666666666665,37,,5,37.0,3.711238174186833e-05,2.0978431926367126e-06,2.0978431926367126e-06
38,4,2,8,0.9,0.001,2.6666666666666665,38,,6,38.0,3.126474096930593e-05,1.8978947826150825e-06,1.8978947826150825e-06
39,4,2,8,0.9,0.0001,2.6666666666666665,39,,7,39.0,3.1651400269225143e-06,3.0990568880111384e-07,3.0990568880111384e-07
40,4,2,8,0.9,1e-05,2.6666666666666665,40,,0,40.0,1.7952041971732573e-06,1.4254813330569916e-07,1.4254813330569916e-07
41,4,2,8,0.9,1e-06,2.6666666666666665,41,,1,41.0,1.5076400241744457e-06,1.2637085361889803e-07,1.2637085361889803e-07
42,4,4,8,0.0,0.1,2.6666666666666665,42,,2,42.0,2.355011872875686e-05,1.748953368239014e-06,1.748953368239014e-06
43,4,4,8,0.0,0.01,2.6666666666666665,43,,3,43.0,2.8191706938751866e-05,2.1166591754002754e-06,2.1166591754002754e-06
44,4,4,8,0.0,0.001,2.6666666666666665,44,,4,44.0,4.163056340201552e-05,2.1823000083428144e-06,2.1823000083428144e-06
45,4,4,8,0.0,0.0001,2.6666666666666665,45,,5,45.0,2.734082394975367e-05,2.2273948642876876e-06,2.2273948642876876e-06
46,4,4,8,0.0,1e-05,2.6666666666666665,46,,6,46.0,2.3548362854031576e-05,1.9030490565228977e-06,1.9030490565228977e-06
47,4,4,8,0.0,1e-06,2.6666666666666665,47,,7,47.0,2.319350062912907e-05,1.8650752481062467e-06,1.8650752481062467e-06
48,4,4,8,0.01,0.1,2.6666666666666665,48,,0,48.0,3.535545755751389e-05,2.9105497817609113e-06,2.9105497817609113e-06
49,4,4,8,0.01,0.01,2.6666666666666665,49,,1,49.0,4.17696628071853e-05,2.245240607826329e-06,2.245240607826329e-06
50,4,4,8,0.01,0.001,2.6666666666666665,50,,2,50.0,3.829798161700481e-05,2.4764582505780177e-06,2.4764582505780177e-06
51,4,4,8,0.01,0.0001,2.6666666666666665,51,,3,51.0,2.1222499159731518e-05,1.6741545518023848e-06,1.6741545518023848e-06
52,4,4,8,0.01,1e-05,2.6666666666666665,52,,4,52.0,1.915260308709193e-05,1.4792203765475015e-06,1.4792203765475015e-06
53,4,4,8,0.01,1e-06,2.6666666666666665,53,,5,53.0,1.9026795282851896e-05,1.46226776020031e-06,1.46226776020031e-06
54,4,4,8,0.1,0.1,2.6666666666666665,54,,6,54.0,3.6051962638698136e-05,2.491535098708638e-06,2.491535098708638e-06
55,4,4,8,0.1,0.01,2.6666666666666665,55,,7,55.0,8.350868612510743e-06,4.4885180384548285e-07,4.4885180384548285e-07
56,4,4,8,0.1,0.001,2.6666666666666665,56,,0,56.0,4.234280442171155e-06,3.0407107430264866e-07,3.0407107430264866e-07
57,4,4,8,0.1,0.0001,2.6666666666666665,57,,1,57.0,1.5994940814267194e-06,1.0586043393310186e-07,1.0586043393310186e-07
58,4,4,8,0.1,1e-05,2.6666666666666665,58,,2,58.0,1.7346486258198914e-06,1.1806460660725091e-07,1.1806460660725091e-07
59,4,4,8,0.1,1e-06,2.6666666666666665,59,,3,59.0,2.2038869741135775e-06,1.3957296764317897e-07,1.3957296764317897e-07
