,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model
0,1.0267900292379484e-05,174,0.001,0.6,,13,13
0,1.025728546323771e-05,175,0.001,0.6,,13,15
0,1.0218121968990915e-05,176,0.001,0.6,,13,23
0,1.0076059971489556e-05,177,0.001,0.6,,13,63
0,9.727215310519463e-06,178,0.001,0.6,,13,513
0,9.60528569310065e-06,179,0.001,0.6,,13,5013
0,9.909970701928946e-06,180,0.001,0.7,,13,13
0,9.89756959553825e-06,181,0.001,0.7,,13,15
0,9.851939243111756e-06,182,0.001,0.7,,13,23
0,9.690908809598723e-06,183,0.001,0.7,,13,63
0,9.331328837772397e-06,184,0.001,0.7,,13,513
0,9.21736109830503e-06,185,0.001,0.7,,13,5013
0,9.592644130966727e-06,186,0.001,0.8,,13,13
0,9.578412791002381e-06,187,0.001,0.8,,13,15
0,9.526292404758745e-06,188,0.001,0.8,,13,23
0,9.347639648759517e-06,189,0.001,0.8,,13,63
0,8.980996784575426e-06,190,0.001,0.8,,13,513
0,8.873896709287354e-06,191,0.001,0.8,,13,5013
0,9.30776224773487e-06,192,0.001,0.9,,13,13
0,9.291671172110293e-06,193,0.001,0.9,,13,15
0,9.233096368222289e-06,194,0.001,0.9,,13,23
0,9.038161974241007e-06,195,0.001,0.9,,13,63
0,8.667187580912295e-06,196,0.001,0.9,,13,513
0,8.56608159489878e-06,197,0.001,0.9,,13,5013
0,9.04951757370919e-06,198,0.001,1.0,,13,13
0,9.031551007815135e-06,199,0.001,1.0,,13,15
0,8.966605190808827e-06,200,0.001,1.0,,13,23
0,8.75668873720776e-06,201,0.001,1.0,,13,63
0,8.383448494072085e-06,202,0.001,1.0,,13,513
0,8.287630053742239e-06,203,0.001,1.0,,13,5013
0,5.416274623848457e-06,204,0.001,5.0,,13,13
0,5.352095503587613e-06,205,0.001,5.0,,13,15
0,5.168052797648311e-06,206,0.001,5.0,,13,23
0,4.842823941564627e-06,207,0.001,5.0,,13,63
0,4.6189610808577534e-06,208,0.001,5.0,,13,513
0,4.588657281918609e-06,209,0.001,5.0,,13,5013
0,4.934492914978639e-06,210,0.001,10.0,,13,13
0,4.866245902642165e-06,211,0.001,10.0,,13,15
0,4.6943833113339195e-06,212,0.001,10.0,,13,23
0,4.463586810436644e-06,213,0.001,10.0,,13,63
0,4.3499153689848955e-06,214,0.001,10.0,,13,513
0,4.337002696952005e-06,215,0.001,10.0,,13,5013
0,5.629224451968035e-06,216,0.001,20.0,,13,13
0,5.579522805638846e-06,217,0.001,20.0,,13,15
0,5.47095876258928e-06,218,0.001,20.0,,13,23
0,5.363426800379504e-06,219,0.001,20.0,,13,63
0,5.3298129114708505e-06,220,0.001,20.0,,13,513
0,5.327173286812807e-06,221,0.001,20.0,,13,5013
0,7.695669988793994e-06,222,0.001,50.0,,13,13
0,7.678004861690738e-06,223,0.001,50.0,,13,15
0,7.650738433978315e-06,224,0.001,50.0,,13,23
0,7.648327288773035e-06,225,0.001,50.0,,13,63
0,7.663450798332268e-06,226,0.001,50.0,,13,513
0,7.666279859144635e-06,227,0.001,50.0,,13,5013
